candidate_type,candidate,gloss,corpus_frequency,distinct_word_coverage,domain_coverage_gain,anchor_availability,pronunciation_clarity,rule_gateway_value,visual_distinctiveness,confusability_penalty,load_penalty,irregularity_penalty,font_penalty,license_penalty,notes
grapheme,ม,low consonant m,0.8,0.78,0.86,0.95,0.94,0.72,0.82,0.02,0.03,0.01,0,0,Runtime lesson 1 and core menu words
grapheme,า,right vowel long aa,0.97,0.94,0.9,0.95,0.94,0.86,0.78,0.02,0.04,0.01,0,0,Highest payoff right side vowel and first placement rule
grapheme,ก,mid consonant k g,0.85,0.84,0.9,0.95,0.88,0.86,0.8,0.03,0.04,0.02,0,0,Runtime lesson 1 and final k stop rule
grapheme,ด,mid consonant d final t,0.73,0.71,0.76,0.88,0.86,0.78,0.76,0.04,0.05,0.02,0,0,Introduces initial d and clipped final stop behavior
grapheme,ี,above vowel long ii,0.74,0.72,0.72,0.84,0.92,0.78,0.74,0.03,0.06,0.01,0,0,Early vertical scanning in ดี and มี
grapheme,น,low consonant n,0.91,0.88,0.82,0.9,0.94,0.78,0.78,0.03,0.04,0.01,0,0,Core final nasal and high coverage consonant
grapheme,ิ,above vowel short i,0.68,0.66,0.76,0.88,0.9,0.78,0.72,0.03,0.06,0.01,0,0,Unlocks กิน and the reusable in frame
grapheme,ต,mid consonant t,0.69,0.67,0.78,0.86,0.84,0.76,0.74,0.04,0.05,0.02,0,0,Market word and hidden vowel gateway
grapheme,ล,low consonant l,0.73,0.71,0.76,0.86,0.9,0.72,0.78,0.04,0.04,0.01,0,0,Market and place word consonant
grapheme,บ,mid consonant b final p,0.67,0.65,0.72,0.82,0.86,0.72,0.76,0.04,0.05,0.02,0,0,Supports บิน and final p rule in สิบ
grapheme,แ,left vowel long ae,0.61,0.59,0.66,0.76,0.84,0.82,0.72,0.04,0.08,0.02,0,0,First before vowel and scanning left rule
grapheme,่,tone mark mai ek,0.85,0.82,0.7,0.8,0.72,0.84,0.62,0.02,0.06,0.04,0,0,Tone mark introduced through sight word แม่
grapheme,ร,low consonant r final n,0.89,0.86,0.8,0.88,0.78,0.8,0.78,0.04,0.07,0.03,0,0,Storefront anchor and final r to n later
grapheme,้,tone mark mai tho,0.83,0.8,0.72,0.82,0.72,0.84,0.62,0.02,0.06,0.04,0,0,Second early tone mark in ร้าน and ข้าว
grapheme,ช,low consonant ch,0.57,0.55,0.68,0.76,0.88,0.7,0.74,0.06,0.05,0.01,0,0,Menu combo anchor ชุด and contrast with ส
grapheme,ุ,below vowel short u,0.57,0.55,0.68,0.78,0.9,0.76,0.7,0.03,0.06,0.01,0,0,First below vowel and clipped syllable rhythm
grapheme,ส,high consonant s,0.7,0.68,0.82,0.84,0.88,0.76,0.76,0.06,0.06,0.02,0,0,Price word สิบ and high class gateway
grapheme,ข,high consonant kh,0.58,0.56,0.78,0.82,0.82,0.8,0.78,0.08,0.07,0.02,0,0,Aspirated high class k in survival food words
grapheme,ว,w consonant and glide,0.76,0.73,0.72,0.82,0.82,0.78,0.76,0.04,0.08,0.03,0,0,Builds -าว in ข้าว and later glide patterns
grapheme,ห,high consonant h and leading H,0.68,0.66,0.78,0.84,0.82,0.9,0.82,0.04,0.1,0.04,0,0,Leading H pattern and food signs like หมู
grapheme,ู,below vowel long uu,0.56,0.54,0.7,0.82,0.9,0.76,0.7,0.03,0.06,0.01,0,0,Long below vowel in หมู and หู
grapheme,อ,silent carrier,0.83,0.8,0.82,0.86,0.7,0.9,0.72,0.05,0.06,0.04,0,0,Carrier behavior for vowel initial words like อาหาร
grapheme,ผ,high consonant ph,0.54,0.52,0.72,0.78,0.82,0.74,0.82,0.07,0.08,0.02,0,0,High value cooking word ผัด and aspirated contrast
grapheme,ั,above vowel short a,0.79,0.76,0.78,0.84,0.86,0.78,0.7,0.03,0.06,0.01,0,0,Common short vowel in ผัด and ผัก
grapheme,final ก,final k stop,0.72,0.7,0.8,0.88,0.78,0.9,0.66,0.02,0.08,0.03,0,0,Explicit final consonant role separate from initial ก
grapheme,final ด ต,final t stop family,0.78,0.75,0.78,0.86,0.76,0.88,0.66,0.03,0.09,0.03,0,0,Market combo and ชุด final stop behavior
grapheme,leading ห,leading tone helper,0.7,0.68,0.76,0.82,0.68,0.94,0.68,0.03,0.14,0.05,0,0,Cluster like chunk in หมู and later หน หย หร patterns
grapheme,ตล hidden vowel frame,initial cluster with hidden a,0.5,0.48,0.7,0.74,0.62,0.84,0.62,0.04,0.16,0.06,0,0,Runtime lesson 4 uses ตลาด to teach nonwritten a
grapheme,ง,low consonant ng and final ng,0.82,0.8,0.8,0.84,0.84,0.82,0.74,0.04,0.06,0.02,0,0,Very common final nasal ng and new final sound
grapheme,ท,low consonant th,0.73,0.71,0.78,0.84,0.86,0.74,0.72,0.04,0.05,0.02,0,0,Very common low th in transit and signage words
grapheme,ป,mid consonant p,0.65,0.63,0.74,0.82,0.84,0.74,0.7,0.06,0.05,0.02,0,0,Very common mid p confusable with บ and ษ
grapheme,ย,low consonant y and glide,0.77,0.74,0.72,0.82,0.8,0.78,0.72,0.05,0.06,0.02,0,0,Very common y consonant and final glide
grapheme,ค,low consonant kh,0.64,0.62,0.74,0.82,0.84,0.72,0.68,0.07,0.06,0.02,0,0,Very common low kh confusable with ด ต อ
grapheme,พ,low consonant ph,0.6,0.58,0.74,0.82,0.84,0.72,0.7,0.06,0.06,0.02,0,0,Very common low ph confusable with ผ ฟ ฝ
grapheme,จ,mid consonant j,0.62,0.6,0.7,0.8,0.8,0.72,0.72,0.05,0.05,0.02,0,0,Common mid j confusable with ง
grapheme,ซ,low consonant s,0.53,0.51,0.66,0.78,0.84,0.66,0.72,0.06,0.05,0.02,0,0,Common low s confusable with ช
grapheme,ถ,high consonant th,0.52,0.5,0.62,0.74,0.8,0.66,0.66,0.06,0.06,0.03,0,0,Common high th confusable with ภ
grapheme,ฟ,low consonant f,0.52,0.5,0.64,0.76,0.84,0.66,0.7,0.05,0.05,0.02,0,0,Common f mostly loanwords confusable with ฝ
grapheme,ะ,after vowel short a,0.71,0.69,0.78,0.84,0.86,0.82,0.7,0.03,0.05,0.02,0,0,Short a sign with glottal stop after consonant
grapheme,เ,before vowel e family,0.81,0.78,0.8,0.84,0.78,0.86,0.7,0.04,0.05,0.03,0,0,Leading e vowel and gateway to many compounds
grapheme,ไ,before vowel ai mai malai,0.61,0.58,0.72,0.82,0.86,0.8,0.72,0.04,0.05,0.02,0,0,Common ai vowel confusable with ใ
grapheme,โ,before vowel long o,0.56,0.54,0.7,0.8,0.86,0.8,0.72,0.03,0.05,0.02,0,0,Leading long o vowel
grapheme,-อ,aw vowel via o ang,0.55,0.52,0.7,0.78,0.78,0.78,0.66,0.06,0.07,0.03,0,0,o ang doubling as the aw vowel
grapheme,เ-า,compound vowel ao,0.58,0.55,0.7,0.8,0.82,0.8,0.64,0.04,0.07,0.03,0,0,Wrap around ao vowel pattern
grapheme,ำ,vowel am,0.56,0.54,0.66,0.78,0.84,0.74,0.7,0.04,0.06,0.03,0,0,sara am with built in final m
grapheme,ใ,before vowel ai mai muan,0.59,0.56,0.62,0.74,0.84,0.72,0.7,0.05,0.08,0.04,0,0,Only about twenty words must be memorized confusable with ไ
grapheme,ื,above vowel long ue,0.58,0.55,0.64,0.76,0.82,0.72,0.66,0.05,0.06,0.02,0,0,Long ue vowel usually needs o ang carrier
grapheme,ึ,above vowel short ue,0.54,0.52,0.6,0.72,0.8,0.7,0.64,0.05,0.06,0.02,0,0,Short ue vowel above the consonant
grapheme,็,mai taikhu vowel shortener,0.5,0.48,0.58,0.7,0.74,0.78,0.6,0.04,0.07,0.03,0,0,Shortens the vowel and carries no sound of its own
grapheme,เ-ีย,compound vowel ia,0.5,0.48,0.58,0.74,0.8,0.74,0.62,0.05,0.07,0.03,0,0,Falling diphthong ia reading pattern
grapheme,ัว,compound vowel ua,0.5,0.48,0.58,0.74,0.8,0.74,0.62,0.05,0.07,0.03,0,0,ua diphthong reading pattern
grapheme,เ-อ,compound vowel oe,0.48,0.46,0.56,0.72,0.78,0.72,0.62,0.05,0.07,0.03,0,0,oe vowel reading pattern
grapheme,์,thanthakhat silent marker,0.58,0.54,0.62,0.72,0.72,0.82,0.58,0.04,0.05,0.04,0,0,Karan silences letters in loanwords like เบอร์
