candidate_type,candidate,gloss,corpus_frequency,distinct_word_coverage,domain_coverage_gain,anchor_availability,pronunciation_clarity,rule_gateway_value,visual_distinctiveness,confusability_penalty,load_penalty,irregularity_penalty,font_penalty,license_penalty,notes,candidate_score,score_band
grapheme,Α α,a sound / alpha,0.95,0.92,0.86,0.9,0.95,0.7,0.8,0.02,0.02,0,0,0,Core vowel with strong positive transfer from Latin A,0.8530,strong
grapheme,Ε ε,e sound / epsilon,0.88,0.85,0.8,0.85,0.95,0.7,0.82,0.02,0.02,0,0,0,High-frequency vowel and early menu/sign payoff,0.8050,strong
grapheme,Ο ο,o sound / omicron,0.86,0.84,0.82,0.85,0.94,0.65,0.78,0.03,0.02,0,0,0,High-frequency vowel; later pair with omega merger,0.7820,strong
grapheme,Ν ν,n sound / nu,0.84,0.82,0.76,0.82,0.95,0.62,0.8,0.02,0.02,0,0,0,Foundational sonorant with strong early anchor availability,0.7690,strong
grapheme,Τ τ,t sound / tau,0.86,0.84,0.8,0.84,0.95,0.66,0.72,0.08,0.02,0,0,0,Very common; mark Cyrillic lookalike risk in drills,0.7270,promising
grapheme,Κ κ,k sound / kappa,0.8,0.78,0.76,0.82,0.94,0.68,0.76,0.04,0.03,0,0,0,High-payoff stop in food and place names,0.7220,promising
grapheme,Ι ι,i sound / iota,0.84,0.82,0.78,0.82,0.94,0.72,0.78,0.04,0.04,0.02,0,0,High-frequency vowel; later explain merger with eta and upsilon,0.7200,promising
grapheme,Μ μ,m sound / mu,0.78,0.76,0.7,0.78,0.95,0.58,0.82,0.03,0.02,0,0,0,High-frequency sonorant for menus and public words,0.7130,promising
grapheme,Λ λ,l sound / lambda,0.72,0.7,0.66,0.72,0.94,0.58,0.82,0.03,0.02,0,0,0,Useful early liquid with low pronunciation load,0.6700,promising
grapheme,Σ σ/ς,s sound / sigma and final sigma,0.86,0.84,0.82,0.86,0.94,0.82,0.66,0.08,0.08,0.02,0,0,Essential but needs explicit final-sigma position rule,0.6640,promising
