candidate_type,candidate,gloss,corpus_frequency,distinct_word_coverage,domain_coverage_gain,anchor_availability,pronunciation_clarity,rule_gateway_value,visual_distinctiveness,confusability_penalty,load_penalty,irregularity_penalty,font_penalty,license_penalty,notes,candidate_score,score_band
grapheme,า,right vowel long aa,0.97,0.94,0.9,0.95,0.94,0.86,0.78,0.02,0.04,0.01,0,0,Highest payoff right side vowel and first placement rule,0.8580,strong
grapheme,น,low consonant n,0.91,0.88,0.82,0.9,0.94,0.78,0.78,0.03,0.04,0.01,0,0,Core final nasal and high coverage consonant,0.7930,strong
grapheme,ก,mid consonant k g,0.85,0.84,0.9,0.95,0.88,0.86,0.8,0.03,0.04,0.02,0,0,Runtime lesson 1 and final k stop rule,0.7770,strong
grapheme,ม,low consonant m,0.8,0.78,0.86,0.95,0.94,0.72,0.82,0.02,0.03,0.01,0,0,Runtime lesson 1 and core menu words,0.7670,strong
grapheme,ร,low consonant r final n,0.89,0.86,0.8,0.88,0.78,0.8,0.78,0.04,0.07,0.03,0,0,Storefront anchor and final r to n later,0.7040,promising
grapheme,ง,low consonant ng and final ng,0.82,0.8,0.8,0.84,0.84,0.82,0.74,0.04,0.06,0.02,0,0,Very common final nasal ng and new final sound,0.6930,promising
grapheme,ั,above vowel short a,0.79,0.76,0.78,0.84,0.86,0.78,0.7,0.03,0.06,0.01,0,0,Common short vowel in ผัด and ผัก,0.6890,promising
grapheme,เ,before vowel e family,0.81,0.78,0.8,0.84,0.78,0.86,0.7,0.04,0.05,0.03,0,0,Leading e vowel and gateway to many compounds,0.6820,promising
grapheme,ล,low consonant l,0.73,0.71,0.76,0.86,0.9,0.72,0.78,0.04,0.04,0.01,0,0,Market and place word consonant,0.6720,promising
grapheme,่,tone mark mai ek,0.85,0.82,0.7,0.8,0.72,0.84,0.62,0.02,0.06,0.04,0,0,Tone mark introduced through sight word แม่,0.6710,promising
grapheme,้,tone mark mai tho,0.83,0.8,0.72,0.82,0.72,0.84,0.62,0.02,0.06,0.04,0,0,Second early tone mark in ร้าน and ข้าว,0.6660,promising
grapheme,ี,above vowel long ii,0.74,0.72,0.72,0.84,0.92,0.78,0.74,0.03,0.06,0.01,0,0,Early vertical scanning in ดี and มี,0.6650,promising
grapheme,อ,silent carrier,0.83,0.8,0.82,0.86,0.7,0.9,0.72,0.05,0.06,0.04,0,0,Carrier behavior for vowel initial words like อาหาร,0.6640,promising
grapheme,ด,mid consonant d final t,0.73,0.71,0.76,0.88,0.86,0.78,0.76,0.04,0.05,0.02,0,0,Introduces initial d and clipped final stop behavior,0.6550,promising
grapheme,ะ,after vowel short a,0.71,0.69,0.78,0.84,0.86,0.82,0.7,0.03,0.05,0.02,0,0,Short a sign with glottal stop after consonant,0.6550,promising
grapheme,final ง,final ng nasal role,0.8,0.77,0.74,0.8,0.8,0.84,0.62,0.03,0.07,0.03,0,0,Explicit final ng sound role for reading closed syllables,0.6500,promising
grapheme,ท,low consonant th,0.73,0.71,0.78,0.84,0.86,0.74,0.72,0.04,0.05,0.02,0,0,Very common low th in transit and signage words,0.6480,promising
grapheme,ิ,above vowel short i,0.68,0.66,0.76,0.88,0.9,0.78,0.72,0.03,0.06,0.01,0,0,Unlocks กิน and the reusable in frame,0.6420,promising
grapheme,final ก,final k stop,0.72,0.7,0.8,0.88,0.78,0.9,0.66,0.02,0.08,0.03,0,0,Explicit final consonant role separate from initial ก,0.6350,promising
